"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 02 17:20:01 MSK 2026","Tue Jun 02 17:20:21 MSK 2026","20051","","testsAndroid.InteriorTestsAndroid","","testsAndroid.InteriorTestsAndroid","mainPagePrintOnWoodOrientationFiltering","mainPagePrintOnWoodOrientationFiltering()","Проверка создания печати на дереве с фильтрацией по ориентации - Android"
"broken","Tue Jun 02 17:29:51 MSK 2026","Tue Jun 02 17:30:15 MSK 2026","23570","","testsAndroid.OnboardingTestsAndroid","","testsAndroid.OnboardingTestsAndroid","OnboardingMixedInteractionsAndroid","OnboardingMixedInteractionsAndroid()","Тест онбординга со смешанными паттернами взаимодействия - Android"
"failed","Tue Jun 02 17:19:11 MSK 2026","Tue Jun 02 17:19:31 MSK 2026","20636","","testsAndroid.CalendarsTestsAndroid","","testsAndroid.CalendarsTestsAndroid","mainPageWallCalendarsA3","mainPageWallCalendarsA3()","Проверка создания календари из раздела товары - Android"
"failed","Tue Jun 02 17:18:09 MSK 2026","Tue Jun 02 17:18:31 MSK 2026","21247","","testsAndroid.CalendarsTestsAndroid","","testsAndroid.CalendarsTestsAndroid","mainPageLogoCalendar","mainPageLogoCalendar()","Проверка создания календаря с логотипом - Android"
"broken","Tue Jun 02 16:53:09 MSK 2026","Tue Jun 02 16:53:23 MSK 2026","14448","","testsAndroid.CartTestsAndroid","","testsAndroid.CartTestsAndroid","mainPageCreatingPhotoBooksForMiniBooks","mainPageCreatingPhotoBooksForMiniBooks()","Проверка добавления Фотокниг в корзину - Android"
"broken","Tue Jun 02 16:54:11 MSK 2026","Tue Jun 02 16:54:28 MSK 2026","17316","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePhotoPolaroid10x13","mainPagePhotoPolaroid10x13()","Проверка печать фото из раздела товары - Android"
"failed","Tue Jun 02 17:08:06 MSK 2026","Tue Jun 02 17:08:25 MSK 2026","19648","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","verifyPhotoPNGUploadThroughAlbumAdd","verifyPhotoPNGUploadThroughAlbumAdd()","Проверка загрузки PNG через  добавление фото в альбоме"
"failed","Tue Jun 02 17:05:45 MSK 2026","Tue Jun 02 17:06:05 MSK 2026","20102","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","viewSharedAlbum","viewSharedAlbum()","Просмотр расшаренного альбома"
"failed","Tue Jun 02 17:29:02 MSK 2026","Tue Jun 02 17:29:22 MSK 2026","19921","","testsAndroid.PhotoBooksTestsAndroid","","testsAndroid.PhotoBooksTestsAndroid","mainPageCreatingPhotoBooksForDiplomas","mainPageCreatingPhotoBooksForDiplomas()","Проверка создания фотокниги из раздела товары - Android"
"failed","Tue Jun 02 17:18:21 MSK 2026","Tue Jun 02 17:18:41 MSK 2026","19846","","testsAndroid.CatalogClassTestsAndroid","","testsAndroid.CatalogClassTestsAndroid","mainPageSearchWithEmptyRequest","mainPageSearchWithEmptyRequest()","Проверка поисковой системы при авторизованном режиме - Android"
"broken","Tue Jun 02 17:11:40 MSK 2026","Tue Jun 02 17:11:51 MSK 2026","11389","","testsAndroid.AuthorizationTestsAndroid","","testsAndroid.AuthorizationTestsAndroid","testValidPhoneLogin","testValidPhoneLogin()","Вход с действительным номером телефона - Android"
"failed","Tue Jun 02 17:22:44 MSK 2026","Tue Jun 02 17:23:04 MSK 2026","20144","","testsAndroid.InteriorTestsAndroid","","testsAndroid.InteriorTestsAndroid","mainPageCanvasSizeFiltering","mainPageCanvasSizeFiltering()","Проверка создания холстов с фильтрацией по размеру - Android"
"broken","Tue Jun 02 16:51:49 MSK 2026","Tue Jun 02 16:51:49 MSK 2026","0","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","","PrintingPhotoTestsAndroid",""
"broken","Tue Jun 02 17:27:00 MSK 2026","Tue Jun 02 17:27:03 MSK 2026","2803","","testsAndroid.NewEditorFZAndroid","","testsAndroid.NewEditorFZAndroid","checkConsentModalInNativeEditorAlbums","checkConsentModalInNativeEditorAlbums()","Проверка модального окна согласия с ФЗ при создании продукта в нативном редакторе: авторизованный пользователь, Не все поля заполнены, user_requirements_done: false. Локальный таймлайн - напечатать"
"failed","Tue Jun 02 17:19:52 MSK 2026","Tue Jun 02 17:20:12 MSK 2026","20657","","testsAndroid.CalendarsTestsAndroid","","testsAndroid.CalendarsTestsAndroid","mainPageWallCalendarsB2","mainPageWallCalendarsB2()","Проверка создания календари из раздела товары - Android"
"failed","Tue Jun 02 17:06:45 MSK 2026","Tue Jun 02 17:07:05 MSK 2026","19858","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","movePhotosFromAlbums","movePhotosFromAlbums()","Перенести фото на экране /Просмотр фотографии/ в альбоме"
"failed","Tue Jun 02 17:05:06 MSK 2026","Tue Jun 02 17:05:26 MSK 2026","20174","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","selectedAllPhotosInAlbum","selectedAllPhotosInAlbum()","Создаём альбом, добавляем фото из «Все фото и Альбомы», выбираем все и очищаем данные (cleanup)."
"failed","Tue Jun 02 17:14:58 MSK 2026","Tue Jun 02 17:15:18 MSK 2026","20089","","testsAndroid.CatalogClassTestsAndroid","","testsAndroid.CatalogClassTestsAndroid","mainPageCheckingNotificationsRegistered","mainPageCheckingNotificationsRegistered()","Проверка раздела уведомления - Android"
"failed","Tue Jun 02 16:56:26 MSK 2026","Tue Jun 02 16:56:46 MSK 2026","20199","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePremiumPhoto","mainPagePremiumPhoto()","Проверка печать фото из раздела товары - Android"
"broken","Tue Jun 02 16:56:54 MSK 2026","Tue Jun 02 16:57:13 MSK 2026","18926","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPageStandardPhotoCreation","mainPageStandardPhotoCreation()","Проверка создания стандартных фотографий - Android"
"failed","Tue Jun 02 17:23:04 MSK 2026","Tue Jun 02 17:23:24 MSK 2026","20054","","testsAndroid.InteriorTestsAndroid","","testsAndroid.InteriorTestsAndroid","mainPageCreatingAcrylic","mainPageCreatingAcrylic()","Проверка создания интерьера из раздела товары - Android"
"failed","Tue Jun 02 17:15:07 MSK 2026","Tue Jun 02 17:15:27 MSK 2026","20250","","testsAndroid.AuthorizationTestsAndroid","","testsAndroid.AuthorizationTestsAndroid","testInvalidPhoneLogin","testInvalidPhoneLogin()","Вход с недействительным номером телефона - Android"
"failed","Tue Jun 02 17:09:59 MSK 2026","Tue Jun 02 17:10:18 MSK 2026","19713","","testsAndroid.AuthorizationTestsAndroid","","testsAndroid.AuthorizationTestsAndroid","testInvalidPasswordLogin","testInvalidPasswordLogin()","Вход с неверным паролем - Android"
"failed","Tue Jun 02 16:57:24 MSK 2026","Tue Jun 02 16:57:44 MSK 2026","19890","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePhotoWithGalleryUpload","mainPagePhotoWithGalleryUpload()","Проверка создания фотографий с загрузкой из галереи - Android"
"failed","Tue Jun 02 17:10:39 MSK 2026","Tue Jun 02 17:10:59 MSK 2026","20600","","testsAndroid.AuthorizationTestsAndroid","","testsAndroid.AuthorizationTestsAndroid","testNumericOnlyPassword","testNumericOnlyPassword()","Вход с паролем только из цифр - Android"
