"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 16 10:41:54 MSK 2026","Tue Jun 16 10:42:16 MSK 2026","22057","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePhotoWithSignature","mainPagePhotoWithSignature()","Проверка создания фотографий с подписью - Android"
"passed","Tue Jun 16 11:20:03 MSK 2026","Tue Jun 16 11:20:27 MSK 2026","23784","","testsAndroid.CalendarsTestsAndroid","","testsAndroid.CalendarsTestsAndroid","mainPageCalendars","mainPageCalendars()","Проверка создания календари из раздела товары - Android"
"failed","Tue Jun 16 10:43:41 MSK 2026","Tue Jun 16 10:43:58 MSK 2026","17583","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePhotoWithQuantitySelection","mainPagePhotoWithQuantitySelection()","Проверка создания фотографий с выбором количества - Android"
"broken","Tue Jun 16 10:54:44 MSK 2026","Tue Jun 16 10:56:11 MSK 2026","86389","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","addPhotoFromGalleryWithLimitedAccessAndroid","addPhotoFromGalleryWithLimitedAccessAndroid()","Добавление фото в альбом из Галереи с ограниченным доступом к фото Android"
"failed","Tue Jun 16 10:43:20 MSK 2026","Tue Jun 16 10:43:41 MSK 2026","20824","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePhotoSeriesFiltering","mainPagePhotoSeriesFiltering()","Проверка фильтрации фотографий по серии - Android"
"passed","Tue Jun 16 10:51:29 MSK 2026","Tue Jun 16 10:52:01 MSK 2026","31606","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","photoRotationClockwise","photoRotationClockwise()","Поворот фотографий по часовой стрелке"
"passed","Tue Jun 16 11:16:49 MSK 2026","Tue Jun 16 11:17:02 MSK 2026","13565","","testsAndroid.AuthorizationTestsAndroid","","testsAndroid.AuthorizationTestsAndroid","testMalformedEmailNoAtSymbol","testMalformedEmailNoAtSymbol()","Вход с неправильно сформированным email (без @) - Android"
"failed","Tue Jun 16 10:52:01 MSK 2026","Tue Jun 16 10:53:09 MSK 2026","68666","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","photoGrid","photoGrid()","Сетка фотографий"
"failed","Tue Jun 16 10:42:16 MSK 2026","Tue Jun 16 10:42:37 MSK 2026","20635","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePhotosWithSignature","mainPagePhotosWithSignature()","Проверка печать фото из раздела товары - Android"
"passed","Tue Jun 16 10:53:09 MSK 2026","Tue Jun 16 10:53:35 MSK 2026","25642","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","verifyPhotosSortedByNameInAlbum","verifyPhotosSortedByNameInAlbum()","Сортировка фото в альбоме по имени"
