"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 22 14:49:39 MSK 2026","Wed Jul 22 14:49:39 MSK 2026","2","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePhotoWithGalleryUpload","mainPagePhotoWithGalleryUpload()","Проверка создания фотографий с загрузкой из галереи - Android"
"broken","Wed Jul 22 14:49:38 MSK 2026","Wed Jul 22 14:49:38 MSK 2026","1","","testsAndroid.PhotoBooksTestsAndroid","","testsAndroid.PhotoBooksTestsAndroid","mainPageCreatingPhotoBooksWithASoftCover","mainPageCreatingPhotoBooksWithASoftCover()","Проверка создания фотокниги из раздела товары - Android"
"broken","Wed Jul 22 14:49:38 MSK 2026","Wed Jul 22 14:49:38 MSK 2026","4","","testsAndroid.CalendarsTestsAndroid","","testsAndroid.CalendarsTestsAndroid","mainPageCalendars","mainPageCalendars()","Проверка создания календари из раздела товары - Android"
"broken","Wed Jul 22 14:49:38 MSK 2026","Wed Jul 22 14:49:38 MSK 2026","3","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePhotoWithCropping","mainPagePhotoWithCropping()","Проверка создания фотографий с кадрированием - Android"
"broken","Wed Jul 22 14:49:38 MSK 2026","Wed Jul 22 14:49:38 MSK 2026","1","","testsAndroid.CalendarsTestsAndroid","","testsAndroid.CalendarsTestsAndroid","mainPageSeasonalThemeCalendar","mainPageSeasonalThemeCalendar()","Проверка создания календаря с сезонной тематикой - Android"
"broken","Wed Jul 22 14:49:37 MSK 2026","Wed Jul 22 14:49:37 MSK 2026","2","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","deletePhotosFromAlbums","deletePhotosFromAlbums()","Удаление фото из на экране /Просмотр фотографии/ в альбоме"
"broken","Wed Jul 22 14:49:38 MSK 2026","Wed Jul 22 14:49:38 MSK 2026","1","","testsAndroid.PhotoBooksTestsAndroid","","testsAndroid.PhotoBooksTestsAndroid","mainPageCreatingPhotoBooksWithAHardCover","mainPageCreatingPhotoBooksWithAHardCover()","Проверка создания фотокниги из раздела товары - Android"
"broken","Wed Jul 22 14:49:38 MSK 2026","Wed Jul 22 14:49:38 MSK 2026","1","","testsAndroid.OnboardingTestsAndroid","","testsAndroid.OnboardingTestsAndroid","OnboardingElementsVisibilityAndroid","OnboardingElementsVisibilityAndroid()","Проверка видимости элементов онбординга - Android"
"broken","Wed Jul 22 14:49:38 MSK 2026","Wed Jul 22 14:49:38 MSK 2026","1","","testsAndroid.PhotoBooksTestsAndroid","","testsAndroid.PhotoBooksTestsAndroid","mainPageCreatingPhotoBooksWithAHard3DCoverFoilEffect","mainPageCreatingPhotoBooksWithAHard3DCoverFoilEffect()","Проверка создания фотокниги из раздела товары - Android"
"broken","Wed Jul 22 14:49:38 MSK 2026","Wed Jul 22 14:49:38 MSK 2026","1","","testsAndroid.InteriorTestsAndroid","","testsAndroid.InteriorTestsAndroid","mainPagePostersFormatFiltering","mainPagePostersFormatFiltering()","Проверка создания постеров с фильтрацией по формату - Android"
