"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 27 07:50:52 MSK 2026","Mon Jul 27 07:52:04 MSK 2026","72053","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","addingPhotosFromGalleryInAlbum","addingPhotosFromGalleryInAlbum()","Добавление фото в альбом из галереи с разрешенным доступом."
"passed","Mon Jul 27 08:12:39 MSK 2026","Mon Jul 27 08:12:53 MSK 2026","13659","","testsAndroid.AuthorizationTestsAndroid","","testsAndroid.AuthorizationTestsAndroid","testInvalidPasswordReset","testInvalidPasswordReset()","Сброс пароля с недействительным email - Android"
"passed","Mon Jul 27 08:05:18 MSK 2026","Mon Jul 27 08:05:46 MSK 2026","28527","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","verifyPhotosSortedByCreationDateInAlbum","verifyPhotosSortedByCreationDateInAlbum()","Сортировка фото в альбоме по дате создания"
"passed","Mon Jul 27 07:36:51 MSK 2026","Mon Jul 27 07:37:16 MSK 2026","25032","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePhotoSeriesFiltering","mainPagePhotoSeriesFiltering()","Проверка фильтрации фотографий по серии - Android"
"passed","Mon Jul 27 07:39:32 MSK 2026","Mon Jul 27 07:39:57 MSK 2026","25084","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePhotoSizeFiltering","mainPagePhotoSizeFiltering()","Проверка фильтрации фотографий по размеру - Android"
"passed","Mon Jul 27 08:00:36 MSK 2026","Mon Jul 27 08:01:22 MSK 2026","46284","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","creatingAlbum","creatingAlbum()","Проверяем успешное создание нового альбома и его отображение."
"failed","Mon Jul 27 07:36:10 MSK 2026","Mon Jul 27 07:36:51 MSK 2026","41024","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePhotoPolaroid10x13","mainPagePhotoPolaroid10x13()","Проверка печать фото из раздела товары - Android"
"passed","Mon Jul 27 07:42:39 MSK 2026","Mon Jul 27 07:43:37 MSK 2026","57693","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","verifyRetryAfterPartialPhotoUpload","verifyRetryAfterPartialPhotoUpload()","Проверка частичной загрузки фото с Повторить"
"passed","Mon Jul 27 07:56:45 MSK 2026","Mon Jul 27 07:57:24 MSK 2026","39104","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","renameAnAlbum","renameAnAlbum()","Переименование альбома"
"failed","Mon Jul 27 08:06:51 MSK 2026","Mon Jul 27 08:08:01 MSK 2026","69557","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","deletePhotosFromAlbums","deletePhotosFromAlbums()","Удаление фото из на экране /Просмотр фотографии/ в альбоме"
"passed","Mon Jul 27 07:50:20 MSK 2026","Mon Jul 27 07:50:52 MSK 2026","31685","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","verifyPhotosSortedByNameInAlbum","verifyPhotosSortedByNameInAlbum()","Сортировка фото в альбоме по имени"
"passed","Mon Jul 27 07:53:44 MSK 2026","Mon Jul 27 07:54:58 MSK 2026","73886","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","verifyPartialPhotoUploadCancellation","verifyPartialPhotoUploadCancellation()","Проверка частичной загрузки фото с отменой"
"passed","Mon Jul 27 08:11:57 MSK 2026","Mon Jul 27 08:12:10 MSK 2026","13020","","testsAndroid.AuthorizationTestsAndroid","","testsAndroid.AuthorizationTestsAndroid","testSpecialCharactersEmail","testSpecialCharactersEmail()","Вход с специальными символами в email - Android"
"passed","Mon Jul 27 07:42:15 MSK 2026","Mon Jul 27 07:42:39 MSK 2026","24015","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePhotoWithGalleryUpload","mainPagePhotoWithGalleryUpload()","Проверка создания фотографий с загрузкой из галереи - Android"
"passed","Mon Jul 27 07:43:37 MSK 2026","Mon Jul 27 07:44:09 MSK 2026","32645","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","printSomePhotosFromAlbum","printSomePhotosFromAlbum()","Печать нескольких выбранных фотографий из альбома"
"failed","Mon Jul 27 07:49:08 MSK 2026","Mon Jul 27 07:50:20 MSK 2026","71050","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","photoGrid","photoGrid()","Сетка фотографий"
"passed","Mon Jul 27 07:39:57 MSK 2026","Mon Jul 27 07:40:22 MSK 2026","24523","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPagePremiumPhotoCreation","mainPagePremiumPhotoCreation()","Проверка создания премиум фотографий - Android"
"failed","Mon Jul 27 07:38:56 MSK 2026","Mon Jul 27 07:39:32 MSK 2026","36211","","testsAndroid.PrintingPhotoTestsAndroid","","testsAndroid.PrintingPhotoTestsAndroid","mainPageStandardPhotos","mainPageStandardPhotos()","Проверка печать фото из раздела товары - Android"
"passed","Mon Jul 27 08:03:22 MSK 2026","Mon Jul 27 08:03:57 MSK 2026","34563","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","viewSharedAlbum","viewSharedAlbum()","Просмотр расшаренного альбома"
"passed","Mon Jul 27 07:58:57 MSK 2026","Mon Jul 27 07:59:26 MSK 2026","29262","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","verifyPhotosSortedByUploadDateInAlbum","verifyPhotosSortedByUploadDateInAlbum()","Сортировка фото в альбоме по дате загрузки"
"failed","Mon Jul 27 07:46:16 MSK 2026","Mon Jul 27 07:46:52 MSK 2026","36303","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","abilityToShareAnAlbum","abilityToShareAnAlbum()","Возможность Поделиться альбомом/отправить ссылку"
"passed","Mon Jul 27 07:44:09 MSK 2026","Mon Jul 27 07:44:44 MSK 2026","34293","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","deletingAlbum","deletingAlbum()","Создаём альбом и удаляем его из списка."
"broken","Mon Jul 27 07:58:27 MSK 2026","Mon Jul 27 07:58:57 MSK 2026","30058","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","addPhotoFromGalleryWithDeniedAccessAndroid","addPhotoFromGalleryWithDeniedAccessAndroid()","Добавление фото из Галереи при запрещённом доступе к фото Android"
"failed","Mon Jul 27 07:55:34 MSK 2026","Mon Jul 27 07:56:45 MSK 2026","71073","","testsAndroid.AlbumsPageTestsAndroid","","testsAndroid.AlbumsPageTestsAndroid","deselectPhotosInAlbums","deselectPhotosInAlbums()","Отмена выбора фотографий в альбоме"
