"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 02 17:03:53 MSK 2026","Tue Jun 02 17:05:02 MSK 2026","69289","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageChecking","mainPageChecking()","Проверка страницы каталог- iOS"
"failed","Tue Jun 02 17:09:12 MSK 2026","Tue Jun 02 17:09:54 MSK 2026","42165","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchNotRegistered","mainPageSearchNotRegistered()","Проверка поисковой системы при неавторизованном режиме - iOS"
"passed","Tue Jun 02 16:59:14 MSK 2026","Tue Jun 02 17:00:01 MSK 2026","46790","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingFilters","mainPageCheckingFilters()","Проверка функционала фильтра - iOS"
"failed","Tue Jun 02 17:28:44 MSK 2026","Tue Jun 02 17:29:19 MSK 2026","35206","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPagePostcardsTypeFiltering","mainPagePostcardsTypeFiltering()","Проверка создания открыток с фильтрацией по типу - iOS"
"broken","Tue Jun 02 17:22:01 MSK 2026","Tue Jun 02 17:22:34 MSK 2026","32738","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","printingPhotosFromAlbums","printingPhotosFromAlbums()","Напечатать фото на экране ""Просмотр фотографии"" в альбоме"
"broken","Tue Jun 02 17:16:00 MSK 2026","Tue Jun 02 17:16:32 MSK 2026","32605","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","photoRotationClockwise","photoRotationClockwise()","Поворот фотографий по часовой стрелке"
"broken","Tue Jun 02 17:12:44 MSK 2026","Tue Jun 02 17:13:17 MSK 2026","33203","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","printSomePhotosFromAlbum","printSomePhotosFromAlbum()","Печать нескольких выбранных фотографий из альбома"
"failed","Tue Jun 02 17:08:32 MSK 2026","Tue Jun 02 17:09:12 MSK 2026","39587","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchWithEmptyRequest","mainPageSearchWithEmptyRequest()","Проверка поисковой системы при авторизованном режиме - iOS"
"broken","Tue Jun 02 17:19:50 MSK 2026","Tue Jun 02 17:20:23 MSK 2026","33123","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","deselectPhotosInAlbums","deselectPhotosInAlbums()","Отмена выбора фотографий в альбоме"
"passed","Tue Jun 02 16:53:57 MSK 2026","Tue Jun 02 16:55:08 MSK 2026","70913","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchIncorrectWord","mainPageSearchIncorrectWord()","Проверка поисковой системы при авторизованном режиме - iOS"
"broken","Tue Jun 02 17:27:22 MSK 2026","Tue Jun 02 17:28:46 MSK 2026","84466","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotoPNGUploadThroughAlbumAdd","verifyPhotoPNGUploadThroughAlbumAdd()","Проверка загрузки PNG через  добавление фото в альбоме"
"passed","Tue Jun 02 17:00:48 MSK 2026","Tue Jun 02 17:03:08 MSK 2026","139307","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchRegistered","mainPageSearchRegistered()","Проверка поисковой системы при авторизованном режиме - iOS"
"failed","Tue Jun 02 17:06:05 MSK 2026","Tue Jun 02 17:06:35 MSK 2026","29118","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","comprehensiveSearchFunctionalityTest","comprehensiveSearchFunctionalityTest()","Комплексная проверка функциональности поиска в каталоге - iOS"
"broken","Tue Jun 02 17:14:55 MSK 2026","Tue Jun 02 17:15:27 MSK 2026","32536","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","abilityToShareAnAlbum","abilityToShareAnAlbum()","Возможность Поделиться альбомом/отправить ссылку"
"broken","Tue Jun 02 17:15:27 MSK 2026","Tue Jun 02 17:16:00 MSK 2026","32403","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","movingPhotoIntoAlbums","movingPhotoIntoAlbums()","Перемещение фотографии из альбома"
"passed","Tue Jun 02 17:03:08 MSK 2026","Tue Jun 02 17:03:53 MSK 2026","45326","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingOrdersNotRegistered","mainPageCheckingOrdersNotRegistered()","Проверка раздела история заказов - iOS"
"broken","Tue Jun 02 17:24:51 MSK 2026","Tue Jun 02 17:25:26 MSK 2026","34375","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotosSortedByCreationDateInAlbum","verifyPhotosSortedByCreationDateInAlbum()","Сортировка фото в альбоме по дате создания"
"failed","Tue Jun 02 17:29:55 MSK 2026","Tue Jun 02 17:30:27 MSK 2026","31756","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingMugs","mainPageCreatingMugs()","Проверка создания подарков из раздела товары - iOS"
"failed","Tue Jun 02 17:07:57 MSK 2026","Tue Jun 02 17:08:32 MSK 2026","35494","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageNotRegistered","mainPageNotRegistered()","Проверка иконок при неавторизованном режиме - iOS"
"broken","Tue Jun 02 17:12:10 MSK 2026","Tue Jun 02 17:12:44 MSK 2026","34407","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotoDNGUploadThroughAlbumAdd","verifyPhotoDNGUploadThroughAlbumAdd()","Проверка загрузки DNG через добавление фото в альбоме"
"broken","Tue Jun 02 17:25:58 MSK 2026","Tue Jun 02 17:27:21 MSK 2026","83527","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","deletePhotosFromAlbums","deletePhotosFromAlbums()","Удаление фото из на экране ""Просмотр фотографии"" в альбоме"
"broken","Tue Jun 02 17:13:50 MSK 2026","Tue Jun 02 17:14:22 MSK 2026","32393","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","viewPhotosFromAlbum","viewPhotosFromAlbum()","Просмотр фотографий из альбома с несколькими фото"
"failed","Tue Jun 02 17:26:53 MSK 2026","Tue Jun 02 17:27:34 MSK 2026","41345","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingNotebooksAndNotepads","mainPageCreatingNotebooksAndNotepads()","Проверка создания подарков из раздела товары - iOS"
"broken","Tue Jun 02 17:25:26 MSK 2026","Tue Jun 02 17:25:58 MSK 2026","32405","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","movePhotosFromAlbums","movePhotosFromAlbums()","Перенести фото на экране ""Просмотр фотографии"" в альбоме"
"broken","Tue Jun 02 17:16:32 MSK 2026","Tue Jun 02 17:17:05 MSK 2026","32292","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","photoGrid","photoGrid()","Сетка фотографий"
"broken","Tue Jun 02 17:20:55 MSK 2026","Tue Jun 02 17:21:28 MSK 2026","32570","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotosSortedByUploadDateInAlbum","verifyPhotosSortedByUploadDateInAlbum()","Сортировка фото в альбоме по дате загрузки"
"failed","Tue Jun 02 17:07:23 MSK 2026","Tue Jun 02 17:07:56 MSK 2026","33251","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingPromotions","mainPageCheckingPromotions()","Проверка раздела акции - iOS"
"failed","Tue Jun 02 17:05:26 MSK 2026","Tue Jun 02 17:06:05 MSK 2026","39321","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingOrdersRegistered","mainPageCheckingOrdersRegistered()","Проверка раздела история заказов - iOS"
"passed","Tue Jun 02 17:30:06 MSK 2026","Tue Jun 02 17:31:13 MSK 2026","67070","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingSpiralNotepads","mainPageCreatingSpiralNotepads()","Проверка создания подарков из раздела товары - iOS"
"broken","Tue Jun 02 17:28:46 MSK 2026","Tue Jun 02 17:30:06 MSK 2026","79829","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","printingAllAlbum","printingAllAlbum()","Печать всего альбома"
"failed","Tue Jun 02 17:27:34 MSK 2026","Tue Jun 02 17:28:08 MSK 2026","33850","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingSpiralNotebooks","mainPageCreatingSpiralNotebooks()","Проверка создания подарков из раздела товары - iOS"
"broken","Tue Jun 02 17:21:28 MSK 2026","Tue Jun 02 17:22:01 MSK 2026","32830","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","addPhotosWithDeniedAccess","addPhotosWithDeniedAccess()","Добавление фото при запрещённом доступе к фото"
"failed","Tue Jun 02 17:06:35 MSK 2026","Tue Jun 02 17:07:23 MSK 2026","48665","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchWithSymbols","mainPageSearchWithSymbols()","Проверка поисковой системы при авторизованном режиме - iOS"
