"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jun 04 16:44:00 MSK 2026","Thu Jun 04 16:44:44 MSK 2026","43922","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotosSortedByCreationDateInAlbum","verifyPhotosSortedByCreationDateInAlbum()","Сортировка фото в альбоме по дате создания"
"failed","Thu Jun 04 16:42:33 MSK 2026","Thu Jun 04 16:43:17 MSK 2026","43913","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","viewSharedAlbum","viewSharedAlbum()","Просмотр расшаренного альбома"
"passed","Thu Jun 04 16:22:16 MSK 2026","Thu Jun 04 16:22:39 MSK 2026","22354","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageNotRegistered","mainPageNotRegistered()","Проверка иконок при неавторизованном режиме - iOS"
"failed","Thu Jun 04 16:35:58 MSK 2026","Thu Jun 04 16:36:42 MSK 2026","43835","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPartialPhotoUploadCancellation","verifyPartialPhotoUploadCancellation()","Проверка частичной загрузки фото с отменой"
"failed","Thu Jun 04 16:46:56 MSK 2026","Thu Jun 04 16:47:40 MSK 2026","44066","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","printingAllAlbum","printingAllAlbum()","Печать всего альбома"
"failed","Thu Jun 04 16:25:34 MSK 2026","Thu Jun 04 16:26:33 MSK 2026","59348","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","deletingAnyPhotosFromAlbum","deletingAnyPhotosFromAlbum()","Создаём альбом, добавляем фото, удаляем выбранные"
"failed","Thu Jun 04 16:45:29 MSK 2026","Thu Jun 04 16:46:13 MSK 2026","43705","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","deletePhotosFromAlbums","deletePhotosFromAlbums()","Удаление фото из на экране ""Просмотр фотографии"" в альбоме"
"failed","Thu Jun 04 16:34:31 MSK 2026","Thu Jun 04 16:35:14 MSK 2026","43038","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","closeAccess","closeAccess()","Закрыть доступ к альбому"
"passed","Thu Jun 04 16:20:14 MSK 2026","Thu Jun 04 16:21:01 MSK 2026","47067","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","comprehensiveSearchFunctionalityTest","comprehensiveSearchFunctionalityTest()","Комплексная проверка функциональности поиска в каталоге - iOS"
"failed","Thu Jun 04 16:35:14 MSK 2026","Thu Jun 04 16:35:58 MSK 2026","43661","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","addingPhotosInAlbum","addingPhotosInAlbum()","Добавление фото в альбом. ios с полным доступом"
"failed","Thu Jun 04 16:46:13 MSK 2026","Thu Jun 04 16:46:56 MSK 2026","43638","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotoPNGUploadThroughAlbumAdd","verifyPhotoPNGUploadThroughAlbumAdd()","Проверка загрузки PNG через  добавление фото в альбоме"
"failed","Thu Jun 04 16:22:39 MSK 2026","Thu Jun 04 16:23:41 MSK 2026","61930","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchWithEmptyRequest","mainPageSearchWithEmptyRequest()","Проверка поисковой системы при авторизованном режиме - iOS"
"failed","Thu Jun 04 16:47:41 MSK 2026","Thu Jun 04 16:48:34 MSK 2026","52920","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingSpiralNotepads","mainPageCreatingSpiralNotepads()","Проверка создания подарков из раздела товары - iOS"
"failed","Thu Jun 04 16:41:50 MSK 2026","Thu Jun 04 16:42:33 MSK 2026","43115","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","selectedAllPhotosInAlbum","selectedAllPhotosInAlbum()","Выбор всех фотографий в альбоме"
"passed","Thu Jun 04 16:08:44 MSK 2026","Thu Jun 04 16:11:35 MSK 2026","170913","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchWithTooLongWord","mainPageSearchWithTooLongWord()","Проверка поисковой системы при авторизованном режиме - iOS"
"failed","Thu Jun 04 16:37:26 MSK 2026","Thu Jun 04 16:38:09 MSK 2026","43519","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","deselectPhotosInAlbums","deselectPhotosInAlbums()","Отмена выбора фотографий в альбоме"
"failed","Thu Jun 04 16:31:36 MSK 2026","Thu Jun 04 16:32:20 MSK 2026","43524","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","movingPhotoIntoAlbums","movingPhotoIntoAlbums()","Перемещение фотографии из альбома"
"failed","Thu Jun 04 16:43:17 MSK 2026","Thu Jun 04 16:44:00 MSK 2026","43321","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","photoRotationCounterclockwise","photoRotationCounterclockwise()","Поворот фотографий против часовой стрелки"
"failed","Thu Jun 04 16:30:10 MSK 2026","Thu Jun 04 16:30:53 MSK 2026","42722","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotoHEICUploadThroughAlbumAdd","verifyPhotoHEICUploadThroughAlbumAdd()","Проверка загрузки HEIC через  добавление фото в альбоме"
"passed","Thu Jun 04 16:21:01 MSK 2026","Thu Jun 04 16:21:37 MSK 2026","35440","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchWithSymbols","mainPageSearchWithSymbols()","Проверка поисковой системы при авторизованном режиме - iOS"
"failed","Thu Jun 04 16:28:00 MSK 2026","Thu Jun 04 16:28:44 MSK 2026","43276","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","printSomePhotosFromAlbum","printSomePhotosFromAlbum()","Печать нескольких выбранных фотографий из альбома"
"failed","Thu Jun 04 16:36:42 MSK 2026","Thu Jun 04 16:37:26 MSK 2026","43921","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","checkEmptyAlbum","checkEmptyAlbum()","Просмотр пустого альбома"
"failed","Thu Jun 04 16:24:32 MSK 2026","Thu Jun 04 16:25:34 MSK 2026","62034","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageRepeatOrder","mainPageRepeatOrder()","Проверка раздела история заказов - iOS"
"passed","Thu Jun 04 16:11:35 MSK 2026","Thu Jun 04 16:12:16 MSK 2026","41128","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchIncorrectWord","mainPageSearchIncorrectWord()","Проверка поисковой системы при авторизованном режиме - iOS"
"failed","Thu Jun 04 16:26:33 MSK 2026","Thu Jun 04 16:27:17 MSK 2026","43479","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyRetryAfterPartialPhotoUpload","verifyRetryAfterPartialPhotoUpload()","Проверка частичной загрузки фото с Повторить"
"failed","Thu Jun 04 16:40:21 MSK 2026","Thu Jun 04 16:41:06 MSK 2026","45656","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","printingPhotosFromAlbums","printingPhotosFromAlbums()","Напечатать фото на экране ""Просмотр фотографии"" в альбоме"
"failed","Thu Jun 04 16:38:53 MSK 2026","Thu Jun 04 16:39:36 MSK 2026","43331","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotosSortedByUploadDateInAlbum","verifyPhotosSortedByUploadDateInAlbum()","Сортировка фото в альбоме по дате загрузки"
"failed","Thu Jun 04 16:41:06 MSK 2026","Thu Jun 04 16:41:50 MSK 2026","43615","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","creatingAlbum","creatingAlbum()","Проверяем успешное создание нового альбома и его отображение."
