"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 16 09:33:45 MSK 2026","Tue Jun 16 09:34:30 MSK 2026","44425","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","printingPhotosFromAlbums","printingPhotosFromAlbums()","Напечатать фото на экране ""Просмотр фотографии"" в альбоме"
"failed","Tue Jun 16 09:21:18 MSK 2026","Tue Jun 16 09:22:02 MSK 2026","43691","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","printSomePhotosFromAlbum","printSomePhotosFromAlbum()","Печать нескольких выбранных фотографий из альбома"
"failed","Tue Jun 16 09:23:30 MSK 2026","Tue Jun 16 09:24:13 MSK 2026","43114","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotoHEICUploadThroughAlbumAdd","verifyPhotoHEICUploadThroughAlbumAdd()","Проверка загрузки HEIC через  добавление фото в альбоме"
"failed","Tue Jun 16 09:37:21 MSK 2026","Tue Jun 16 09:38:05 MSK 2026","43285","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotosSortedByCreationDateInAlbum","verifyPhotosSortedByCreationDateInAlbum()","Сортировка фото в альбоме по дате создания"
"failed","Tue Jun 16 09:27:52 MSK 2026","Tue Jun 16 09:28:36 MSK 2026","43947","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","closeAccess","closeAccess()","Закрыть доступ к альбому"
"failed","Tue Jun 16 09:17:21 MSK 2026","Tue Jun 16 09:18:23 MSK 2026","62328","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageRepeatOrder","mainPageRepeatOrder()","Проверка раздела история заказов - iOS"
"passed","Tue Jun 16 09:06:38 MSK 2026","Tue Jun 16 09:07:38 MSK 2026","60243","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchWithIncorrectInputType","mainPageSearchWithIncorrectInputType()","Проверка поисковой системы при авторизованном режиме - iOS"
"failed","Tue Jun 16 09:30:47 MSK 2026","Tue Jun 16 09:31:30 MSK 2026","42589","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","deselectPhotosInAlbums","deselectPhotosInAlbums()","Отмена выбора фотографий в альбоме"
"failed","Tue Jun 16 09:26:25 MSK 2026","Tue Jun 16 09:27:09 MSK 2026","43504","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","photoGrid","photoGrid()","Сетка фотографий"
"failed","Tue Jun 16 09:18:23 MSK 2026","Tue Jun 16 09:19:42 MSK 2026","78159","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","deletingAnyPhotosFromAlbum","deletingAnyPhotosFromAlbum()","Создаём альбом, добавляем фото, удаляем выбранные"
"failed","Tue Jun 16 09:29:19 MSK 2026","Tue Jun 16 09:30:03 MSK 2026","43802","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPartialPhotoUploadCancellation","verifyPartialPhotoUploadCancellation()","Проверка частичной загрузки фото с отменой"
"failed","Tue Jun 16 09:20:35 MSK 2026","Tue Jun 16 09:21:18 MSK 2026","43433","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotoDNGUploadThroughAlbumAdd","verifyPhotoDNGUploadThroughAlbumAdd()","Проверка загрузки DNG через добавление фото в альбоме"
"failed","Tue Jun 16 09:27:09 MSK 2026","Tue Jun 16 09:27:52 MSK 2026","43181","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotosSortedByNameInAlbum","verifyPhotosSortedByNameInAlbum()","Сортировка фото в альбоме по имени"
"passed","Tue Jun 16 09:06:04 MSK 2026","Tue Jun 16 09:06:38 MSK 2026","33870","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingNotificationsNotRegistered","mainPageCheckingNotificationsNotRegistered()","Проверка раздела уведомления - iOS"
"passed","Tue Jun 16 09:02:44 MSK 2026","Tue Jun 16 09:05:26 MSK 2026","162211","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchWithTooLongWord","mainPageSearchWithTooLongWord()","Проверка поисковой системы при авторизованном режиме - iOS"
"failed","Tue Jun 16 09:22:02 MSK 2026","Tue Jun 16 09:22:46 MSK 2026","43656","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","deletingAlbum","deletingAlbum()","Создаём альбом и удаляем его из списка."
"failed","Tue Jun 16 09:30:03 MSK 2026","Tue Jun 16 09:30:47 MSK 2026","44045","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","checkEmptyAlbum","checkEmptyAlbum()","Просмотр пустого альбома"
"passed","Tue Jun 16 09:13:23 MSK 2026","Tue Jun 16 09:14:05 MSK 2026","41407","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","comprehensiveSearchFunctionalityTest","comprehensiveSearchFunctionalityTest()","Комплексная проверка функциональности поиска в каталоге - iOS"
"passed","Tue Jun 16 09:14:34 MSK 2026","Tue Jun 16 09:15:07 MSK 2026","32586","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingPromotions","mainPageCheckingPromotions()","Проверка раздела акции - iOS"
"failed","Tue Jun 16 09:34:30 MSK 2026","Tue Jun 16 09:35:13 MSK 2026","43403","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","creatingAlbum","creatingAlbum()","Проверяем успешное создание нового альбома и его отображение."
"failed","Tue Jun 16 09:39:31 MSK 2026","Tue Jun 16 09:40:09 MSK 2026","37959","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotoPNGUploadThroughAlbumAdd","verifyPhotoPNGUploadThroughAlbumAdd()","Проверка загрузки PNG через  добавление фото в альбоме"
"failed","Tue Jun 16 09:22:46 MSK 2026","Tue Jun 16 09:23:30 MSK 2026","43781","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","viewPhotosFromAlbum","viewPhotosFromAlbum()","Просмотр фотографий из альбома с несколькими фото"
"passed","Tue Jun 16 09:05:26 MSK 2026","Tue Jun 16 09:06:04 MSK 2026","37859","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchIncorrectWord","mainPageSearchIncorrectWord()","Проверка поисковой системы при авторизованном режиме - iOS"
"failed","Tue Jun 16 09:41:10 MSK 2026","Tue Jun 16 09:41:58 MSK 2026","48385","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingSpiralNotepads","mainPageCreatingSpiralNotepads()","Проверка создания подарков из раздела товары - iOS"
"failed","Tue Jun 16 09:25:41 MSK 2026","Tue Jun 16 09:26:25 MSK 2026","44289","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","photoRotationClockwise","photoRotationClockwise()","Поворот фотографий по часовой стрелке"
"passed","Tue Jun 16 09:12:49 MSK 2026","Tue Jun 16 09:13:23 MSK 2026","33778","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingOrdersRegistered","mainPageCheckingOrdersRegistered()","Проверка раздела история заказов - iOS"
"failed","Tue Jun 16 09:35:13 MSK 2026","Tue Jun 16 09:35:56 MSK 2026","42788","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","selectedAllPhotosInAlbum","selectedAllPhotosInAlbum()","Выбор всех фотографий в альбоме"
