"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 16 10:59:53 MSK 2026","Tue Jun 16 11:00:36 MSK 2026","43398","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","deletingAlbum","deletingAlbum()","Создаём альбом и удаляем его из списка."
"failed","Tue Jun 16 10:44:08 MSK 2026","Tue Jun 16 10:49:03 MSK 2026","295080","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingProducts","mainPageCheckingProducts()","Проверка раздела товары - iOS"
"failed","Tue Jun 16 10:50:09 MSK 2026","Tue Jun 16 10:50:33 MSK 2026","24197","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPagePostcardsTypeFiltering","mainPagePostcardsTypeFiltering()","Проверка создания открыток с фильтрацией по типу - iOS"
"failed","Tue Jun 16 11:13:35 MSK 2026","Tue Jun 16 11:14:18 MSK 2026","42941","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","viewSharedAlbum","viewSharedAlbum()","Просмотр расшаренного альбома"
"failed","Tue Jun 16 11:00:36 MSK 2026","Tue Jun 16 11:01:20 MSK 2026","44127","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","viewPhotosFromAlbum","viewPhotosFromAlbum()","Просмотр фотографий из альбома с несколькими фото"
"failed","Tue Jun 16 10:53:15 MSK 2026","Tue Jun 16 10:53:39 MSK 2026","24461","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPagePuzzlesElementsFiltering","mainPagePuzzlesElementsFiltering()","Проверка создания пазлов с фильтрацией по элементам - iOS"
"failed","Tue Jun 16 11:11:26 MSK 2026","Tue Jun 16 11:12:08 MSK 2026","42629","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","printingPhotosFromAlbums","printingPhotosFromAlbums()","Напечатать фото на экране ""Просмотр фотографии"" в альбоме"
"failed","Tue Jun 16 10:54:52 MSK 2026","Tue Jun 16 10:55:19 MSK 2026","27104","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageAcrylicSizeFiltering","mainPageAcrylicSizeFiltering()","Проверка создания акриловых изделий с фильтрацией по размеру - iOS"
"failed","Tue Jun 16 11:18:45 MSK 2026","Tue Jun 16 11:19:30 MSK 2026","45333","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingSpiralNotepads","mainPageCreatingSpiralNotepads()","Проверка создания подарков из раздела товары - iOS"
"failed","Tue Jun 16 10:50:45 MSK 2026","Tue Jun 16 10:51:09 MSK 2026","24527","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageChecking","mainPageChecking()","Проверка страницы каталог- iOS"
"failed","Tue Jun 16 11:16:31 MSK 2026","Tue Jun 16 11:17:10 MSK 2026","39138","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","deletePhotosFromAlbums","deletePhotosFromAlbums()","Удаление фото из на экране ""Просмотр фотографии"" в альбоме"
"failed","Tue Jun 16 11:04:14 MSK 2026","Tue Jun 16 11:04:57 MSK 2026","43277","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","photoGrid","photoGrid()","Сетка фотографий"
"failed","Tue Jun 16 10:50:20 MSK 2026","Tue Jun 16 10:50:45 MSK 2026","24626","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingOrdersNotRegistered","mainPageCheckingOrdersNotRegistered()","Проверка раздела история заказов - iOS"
"failed","Tue Jun 16 10:59:11 MSK 2026","Tue Jun 16 10:59:53 MSK 2026","42096","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","printSomePhotosFromAlbum","printSomePhotosFromAlbum()","Печать нескольких выбранных фотографий из альбома"
"failed","Tue Jun 16 10:55:52 MSK 2026","Tue Jun 16 10:56:38 MSK 2026","45436","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageNotebooksCoverFiltering","mainPageNotebooksCoverFiltering()","Проверка создания тетрадей с фильтрацией по обложке - iOS"
"failed","Tue Jun 16 11:09:59 MSK 2026","Tue Jun 16 11:10:42 MSK 2026","42819","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotosSortedByUploadDateInAlbum","verifyPhotosSortedByUploadDateInAlbum()","Сортировка фото в альбоме по дате загрузки"
"failed","Tue Jun 16 10:43:08 MSK 2026","Tue Jun 16 10:43:34 MSK 2026","26262","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingNotificationsNotRegistered","mainPageCheckingNotificationsNotRegistered()","Проверка раздела уведомления - iOS"
"failed","Tue Jun 16 10:57:53 MSK 2026","Tue Jun 16 10:58:22 MSK 2026","29263","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingMagnets","mainPageCreatingMagnets()","Проверка создания подарков из раздела товары - iOS"
"failed","Tue Jun 16 11:02:04 MSK 2026","Tue Jun 16 11:02:47 MSK 2026","42960","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","abilityToShareAnAlbum","abilityToShareAnAlbum()","Возможность Поделиться альбомом/отправить ссылку"
"failed","Tue Jun 16 10:51:19 MSK 2026","Tue Jun 16 10:51:42 MSK 2026","23044","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageMugsStyleFiltering","mainPageMugsStyleFiltering()","Проверка создания кружек с фильтрацией по стилю - iOS"
"failed","Tue Jun 16 11:15:45 MSK 2026","Tue Jun 16 11:16:31 MSK 2026","46070","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","movePhotosFromAlbums","movePhotosFromAlbums()","Перенести фото на экране ""Просмотр фотографии"" в альбоме"
"failed","Tue Jun 16 10:53:39 MSK 2026","Tue Jun 16 10:54:04 MSK 2026","24733","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageStickersShapeFiltering","mainPageStickersShapeFiltering()","Проверка создания наклеек с фильтрацией по форме - iOS"
"failed","Tue Jun 16 10:53:17 MSK 2026","Tue Jun 16 10:53:40 MSK 2026","22728","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageNotRegistered","mainPageNotRegistered()","Проверка иконок при неавторизованном режиме - iOS"
"failed","Tue Jun 16 10:59:26 MSK 2026","Tue Jun 16 10:59:55 MSK 2026","28762","","testsIOS.FeedbackTests","","testsIOS.FeedbackTests","feedbackIOSInvalidData","feedbackIOSInvalidData()","Проверка отправки формы обратной связи с некорректными данными (iOS)"
"failed","Tue Jun 16 10:52:28 MSK 2026","Tue Jun 16 10:52:51 MSK 2026","22985","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingPostCards","mainPageCreatingPostCards()","Проверка создания подарков из раздела товары - iOS"
"failed","Tue Jun 16 10:49:31 MSK 2026","Tue Jun 16 10:49:56 MSK 2026","24862","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingNotificationsRegistered","mainPageCheckingNotificationsRegistered()","Проверка раздела уведомления - iOS"
"failed","Tue Jun 16 10:52:05 MSK 2026","Tue Jun 16 10:52:28 MSK 2026","22946","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPagePresentsThemeFiltering","mainPagePresentsThemeFiltering()","Проверка фильтрации подарков по темам - iOS"
"failed","Tue Jun 16 10:49:03 MSK 2026","Tue Jun 16 10:49:31 MSK 2026","28287","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingFilters","mainPageCheckingFilters()","Проверка функционала фильтра - iOS"
"failed","Tue Jun 16 10:55:20 MSK 2026","Tue Jun 16 10:55:52 MSK 2026","32890","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingAcrylicDesk","mainPageCreatingAcrylicDesk()","Проверка создания подарков из раздела товары - iOS"
"failed","Tue Jun 16 11:12:52 MSK 2026","Tue Jun 16 11:13:35 MSK 2026","43060","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","selectedAllPhotosInAlbum","selectedAllPhotosInAlbum()","Выбор всех фотографий в альбоме"
"failed","Tue Jun 16 11:17:10 MSK 2026","Tue Jun 16 11:18:00 MSK 2026","49665","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotoPNGUploadThroughAlbumAdd","verifyPhotoPNGUploadThroughAlbumAdd()","Проверка загрузки PNG через  добавление фото в альбоме"
"failed","Tue Jun 16 10:43:34 MSK 2026","Tue Jun 16 10:44:08 MSK 2026","33575","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchWithIncorrectInputType","mainPageSearchWithIncorrectInputType()","Проверка поисковой системы при авторизованном режиме - iOS"
"failed","Tue Jun 16 10:51:42 MSK 2026","Tue Jun 16 10:52:05 MSK 2026","22960","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingStapledNotebooks","mainPageCreatingStapledNotebooks()","Проверка создания подарков из раздела товары - iOS"
"failed","Tue Jun 16 11:07:49 MSK 2026","Tue Jun 16 11:08:32 MSK 2026","42993","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","checkEmptyAlbum","checkEmptyAlbum()","Просмотр пустого альбома"
"failed","Tue Jun 16 11:09:16 MSK 2026","Tue Jun 16 11:09:59 MSK 2026","43224","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","renameAnAlbum","renameAnAlbum()","Переименование альбома"
"failed","Tue Jun 16 10:54:54 MSK 2026","Tue Jun 16 10:57:31 MSK 2026","156686","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","deletingAnyPhotosFromAlbum","deletingAnyPhotosFromAlbum()","Создаём альбом, добавляем фото, удаляем выбранные"
"failed","Tue Jun 16 11:01:20 MSK 2026","Tue Jun 16 11:02:04 MSK 2026","43254","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyPhotoHEICUploadThroughAlbumAdd","verifyPhotoHEICUploadThroughAlbumAdd()","Проверка загрузки HEIC через  добавление фото в альбоме"
"failed","Tue Jun 16 10:54:29 MSK 2026","Tue Jun 16 10:54:54 MSK 2026","24540","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageRepeatOrder","mainPageRepeatOrder()","Проверка раздела история заказов - iOS"
"failed","Tue Jun 16 10:51:40 MSK 2026","Tue Jun 16 10:52:04 MSK 2026","24374","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingOrdersRegistered","mainPageCheckingOrdersRegistered()","Проверка раздела история заказов - iOS"
"failed","Tue Jun 16 10:58:22 MSK 2026","Tue Jun 16 10:58:50 MSK 2026","27708","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPagePresentsPersonalization","mainPagePresentsPersonalization()","Проверка создания подарков с персонализацией - iOS"
"failed","Tue Jun 16 10:57:31 MSK 2026","Tue Jun 16 10:58:27 MSK 2026","56379","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","verifyRetryAfterPartialPhotoUpload","verifyRetryAfterPartialPhotoUpload()","Проверка частичной загрузки фото с Повторить"
"failed","Tue Jun 16 10:54:04 MSK 2026","Tue Jun 16 10:54:29 MSK 2026","24674","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchNotRegistered","mainPageSearchNotRegistered()","Проверка поисковой системы при неавторизованном режиме - iOS"
"failed","Tue Jun 16 10:48:57 MSK 2026","Tue Jun 16 10:49:21 MSK 2026","23774","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingNotebooksAndNotepads","mainPageCreatingNotebooksAndNotepads()","Проверка создания подарков из раздела товары - iOS"
"failed","Tue Jun 16 10:50:33 MSK 2026","Tue Jun 16 10:50:56 MSK 2026","23297","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingGiftPostCards","mainPageCreatingGiftPostCards()","Проверка создания подарков из раздела товары - iOS"
"failed","Tue Jun 16 11:00:19 MSK 2026","Tue Jun 16 11:00:53 MSK 2026","33507","","testsIOS.FeedbackTests","","testsIOS.FeedbackTests","feedbackIOSMandatoryData","feedbackIOSMandatoryData()","Проверка обязательных полей формы обратной связи (iOS)"
"failed","Tue Jun 16 10:59:55 MSK 2026","Tue Jun 16 11:00:19 MSK 2026","24564","","testsIOS.FeedbackTests","","testsIOS.FeedbackTests","feedbackIOS","feedbackIOS()","Проверка работы формы обратной связи в разделе «Профиль» (iOS)"
