"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 22 14:51:11 MSK 2026","Wed Jul 22 14:51:11 MSK 2026","2","","testsIOS.InteriorTests","","testsIOS.InteriorTests","mainPageWoodStyleFiltering","mainPageWoodStyleFiltering()","Проверка создания деревянных изделий с фильтрацией по стилю - iOS"
"broken","Wed Jul 22 14:51:10 MSK 2026","Wed Jul 22 14:51:10 MSK 2026","12","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageStickersShapeFiltering","mainPageStickersShapeFiltering()","Проверка создания наклеек с фильтрацией по форме - iOS"
"broken","Wed Jul 22 14:51:15 MSK 2026","Wed Jul 22 14:51:15 MSK 2026","135","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","abilityToShareAnAlbum","abilityToShareAnAlbum()","Возможность Поделиться альбомом/отправить ссылку"
"broken","Wed Jul 22 14:51:11 MSK 2026","Wed Jul 22 14:51:11 MSK 2026","10","","testsIOS.AuthorizationTests","","testsIOS.AuthorizationTests","testVeryShortPassword","testVeryShortPassword()",""
"broken","Wed Jul 22 14:50:51 MSK 2026","Wed Jul 22 14:50:51 MSK 2026","3","","testsIOS.PhotoBooksTests","","testsIOS.PhotoBooksTests","mainPageCreatingPhotoBooksOnCoatedPaper","mainPageCreatingPhotoBooksOnCoatedPaper()","Проверка создания фотокниги из раздела товары - iOS"
"broken","Wed Jul 22 14:50:52 MSK 2026","Wed Jul 22 14:50:52 MSK 2026","10","","testsIOS.CheckoutTests","","testsIOS.CheckoutTests","checkoutCourierDelivery","checkoutCourierDelivery()","Проверка оформления заказа с курьерской доставкой - iOS"
"broken","Wed Jul 22 14:50:51 MSK 2026","Wed Jul 22 14:50:51 MSK 2026","2","","testsIOS.NewEditorFZ","","testsIOS.NewEditorFZ","checkConsentModalInNativeEditorProjectAllFieldsAreCompleted","checkConsentModalInNativeEditorProjectAllFieldsAreCompleted()","Проверка модального окна согласия с ФЗ при создании продукта в нативном редакторе: авторизованный пользователь, все поля заполнены, user_requirements_done=false.Проекты_редактор"
"broken","Wed Jul 22 14:51:11 MSK 2026","Wed Jul 22 14:51:11 MSK 2026","2","","testsIOS.AuthorizationTests","","testsIOS.AuthorizationTests","testMalformedEmailNoAtSymbol","testMalformedEmailNoAtSymbol()",""
"broken","Wed Jul 22 14:51:16 MSK 2026","Wed Jul 22 14:51:16 MSK 2026","3","","testsIOS.PrintingPhotoTests","","testsIOS.PrintingPhotoTests","mainPagePhotoCroppingFiltering","mainPagePhotoCroppingFiltering()","Проверка печати фотографий с фильтрацией по кадрированию - iOS"
"broken","Wed Jul 22 14:51:10 MSK 2026","Wed Jul 22 14:51:10 MSK 2026","3","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingPresents","mainPageCreatingPresents()","Проверка создания подарков из раздела товары - iOS"
