"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 27 08:00:19 MSK 2026","Mon Jul 27 08:00:19 MSK 2026","244","","testsIOS.AuthorizationTests","","testsIOS.AuthorizationTests","testVeryShortPassword","testVeryShortPassword()",""
"broken","Mon Jul 27 07:59:53 MSK 2026","Mon Jul 27 07:59:54 MSK 2026","252","","testsIOS.PhotoBooksTests","","testsIOS.PhotoBooksTests","mainPagePhotoBookSearch","mainPagePhotoBookSearch()","Проверка создания фотокниги с поиском - iOS"
"broken","Mon Jul 27 08:00:00 MSK 2026","Mon Jul 27 08:00:01 MSK 2026","274","","testsIOS.CalendarsTests","","testsIOS.CalendarsTests","mainPageWallCalendarsA2","mainPageWallCalendarsA2()","Проверка создания календари из раздела товары - iOS"
"broken","Mon Jul 27 08:05:40 MSK 2026","Mon Jul 27 08:06:08 MSK 2026","27912","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","renameAnAlbum","renameAnAlbum()","Переименование альбома"
"broken","Mon Jul 27 08:06:37 MSK 2026","Mon Jul 27 08:07:05 MSK 2026","27959","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","printSomePhotosFromAlbum","printSomePhotosFromAlbum()","Печать нескольких выбранных фотографий из альбома"
"broken","Mon Jul 27 08:00:26 MSK 2026","Mon Jul 27 08:00:26 MSK 2026","267","","testsIOS.InteriorTests","","testsIOS.InteriorTests","mainPageInteriorFavoritesFunctionality","mainPageInteriorFavoritesFunctionality()","Проверка создания интерьерных изделий с избранным - iOS"
"broken","Mon Jul 27 08:00:18 MSK 2026","Mon Jul 27 08:00:18 MSK 2026","245","","testsIOS.AuthorizationTests","","testsIOS.AuthorizationTests","testCyrillicCharacters","testCyrillicCharacters()",""
"broken","Mon Jul 27 08:00:15 MSK 2026","Mon Jul 27 08:00:15 MSK 2026","244","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageCheckingPromotions","mainPageCheckingPromotions()","Проверка раздела акции - iOS"
"broken","Mon Jul 27 07:59:47 MSK 2026","Mon Jul 27 07:59:47 MSK 2026","257","","testsIOS.NewEditorFZ","","testsIOS.NewEditorFZ","checkConsentModalInNativeEditor","checkConsentModalInNativeEditor()","Проверка окна о недостающих данных"
"broken","Mon Jul 27 07:59:47 MSK 2026","Mon Jul 27 07:59:47 MSK 2026","288","","testsIOS.NewEditorFZ","","testsIOS.NewEditorFZ","checkConsentModalInNativeEditorAddPhotosAllFieldsAreCompleted","checkConsentModalInNativeEditorAddPhotosAllFieldsAreCompleted()","Проверка модального окна согласия с ФЗ при создании продукта в нативном редакторе: авторизованный пользователь, Все поля заполнены, user_requirements_done: false. Альбом НП - добавить фото"
"broken","Mon Jul 27 08:00:08 MSK 2026","Mon Jul 27 08:00:08 MSK 2026","247","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPagePostcardsTypeFiltering","mainPagePostcardsTypeFiltering()","Проверка создания открыток с фильтрацией по типу - iOS"
"broken","Mon Jul 27 07:49:11 MSK 2026","Mon Jul 27 07:49:11 MSK 2026","271","","testsIOS.PrintingPhotoTests","","testsIOS.PrintingPhotoTests","mainPagePhotosWithSignature","mainPagePhotosWithSignature()","Проверка печать фото из раздела товары - iOS"
"broken","Mon Jul 27 08:00:13 MSK 2026","Mon Jul 27 08:00:14 MSK 2026","289","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","comprehensiveSearchFunctionalityTest","comprehensiveSearchFunctionalityTest()","Комплексная проверка функциональности поиска в каталоге - iOS"
"broken","Mon Jul 27 08:00:09 MSK 2026","Mon Jul 27 08:00:09 MSK 2026","249","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingFoldedPostCards","mainPageCreatingFoldedPostCards()","Проверка создания подарков из раздела товары - iOS"
"broken","Mon Jul 27 08:03:47 MSK 2026","Mon Jul 27 08:04:16 MSK 2026","29352","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","photoGrid","photoGrid()","Сетка фотографий"
"broken","Mon Jul 27 07:59:55 MSK 2026","Mon Jul 27 07:59:55 MSK 2026","250","","testsIOS.PhotoBooksTests","","testsIOS.PhotoBooksTests","mainPagePhotoBookQuickOrder","mainPagePhotoBookQuickOrder()","Проверка создания фотокниги с быстрым заказом - iOS"
"broken","Mon Jul 27 07:49:12 MSK 2026","Mon Jul 27 07:49:12 MSK 2026","252","","testsIOS.PrintingPhotoTests","","testsIOS.PrintingPhotoTests","mainPagePhotoPolaroid10x13","mainPagePhotoPolaroid10x13()","Проверка печать фото из раздела товары - iOS"
"broken","Mon Jul 27 07:51:30 MSK 2026","Mon Jul 27 07:52:07 MSK 2026","36917","","testsIOS.OnboardingTests","","testsIOS.OnboardingTests","OnboardingAccessibilityIOS","OnboardingAccessibilityIOS()","Тест функций доступности онбординга - iOS"
"broken","Mon Jul 27 07:59:44 MSK 2026","Mon Jul 27 07:59:44 MSK 2026","259","","testsIOS.NewEditorFZ","","testsIOS.NewEditorFZ","checkConsentModalInNativeEditorCatalogAllFieldsAreCompleted","checkConsentModalInNativeEditorCatalogAllFieldsAreCompleted()","Проверка модального окна согласия с ФЗ при создании продукта в нативном редакторе: авторизованный пользователь, все поля заполнены, user_requirements_done=false. Каталог_редактор"
"broken","Mon Jul 27 08:11:17 MSK 2026","Mon Jul 27 08:11:45 MSK 2026","28098","","testsIOS.AlbumsPageTests","","testsIOS.AlbumsPageTests","abilityToShareAnAlbum","abilityToShareAnAlbum()","Возможность Поделиться альбомом/отправить ссылку"
"broken","Mon Jul 27 07:59:58 MSK 2026","Mon Jul 27 07:59:58 MSK 2026","256","","testsIOS.CheckoutTests","","testsIOS.CheckoutTests","checkoutFieldValidation","checkoutFieldValidation()","Проверка оформления заказа с валидацией полей - iOS"
"broken","Mon Jul 27 07:59:45 MSK 2026","Mon Jul 27 07:59:45 MSK 2026","248","","testsIOS.NewEditorFZ","","testsIOS.NewEditorFZ","verifyEditorForPhotosUnauthorizedUser","verifyEditorForPhotosUnauthorizedUser()","Не авторизованный юзер при входе в редактор ФОТО"
"broken","Mon Jul 27 07:59:58 MSK 2026","Mon Jul 27 07:59:58 MSK 2026","262","","testsIOS.CheckoutTests","","testsIOS.CheckoutTests","checkoutCashOnDelivery","checkoutCashOnDelivery()","Проверка оформления заказа с наличной оплатой при получении - iOS"
"broken","Mon Jul 27 07:49:13 MSK 2026","Mon Jul 27 07:49:14 MSK 2026","308","","testsIOS.PrintingPhotoTests","","testsIOS.PrintingPhotoTests","mainPagePhotoSizeFiltering","mainPagePhotoSizeFiltering()","Проверка печати фотографий с фильтрацией по размеру - iOS"
"broken","Mon Jul 27 07:59:45 MSK 2026","Mon Jul 27 07:59:45 MSK 2026","245","","testsIOS.NewEditorFZ","","testsIOS.NewEditorFZ","checkConsentModalInNativeEditorAlbums","checkConsentModalInNativeEditorAlbums()","Проверка модального окна согласия с ФЗ при создании продукта в нативном редакторе: авторизованный пользователь, Не все поля заполнены, user_requirements_done: false. Локальный таймлайн - напечатать"
"broken","Mon Jul 27 07:59:52 MSK 2026","Mon Jul 27 07:59:52 MSK 2026","253","","testsIOS.PhotoBooksTests","","testsIOS.PhotoBooksTests","mainPageCreatingPhotoBooksForGraduationAlbums","mainPageCreatingPhotoBooksForGraduationAlbums()","Проверка создания фотокниги из раздела товары - iOS"
"broken","Mon Jul 27 08:00:06 MSK 2026","Mon Jul 27 08:00:06 MSK 2026","251","","testsIOS.PresentsTests","","testsIOS.PresentsTests","mainPageCreatingSpiralNotepads","mainPageCreatingSpiralNotepads()","Проверка создания подарков из раздела товары - iOS"
"broken","Mon Jul 27 08:00:15 MSK 2026","Mon Jul 27 08:00:15 MSK 2026","256","","testsIOS.CatalogCLassTest","","testsIOS.CatalogCLassTest","mainPageSearchWithTooLongWord","mainPageSearchWithTooLongWord()","Проверка поисковой системы при авторизованном режиме - iOS"
